TOOLTIP_ACCE_ATTR_MAX_INFO	(μεγ. %s)
SYSTEM_OPTION_CPU_TILING_2	Αν παρουσιαστούν προβλήματα γραφικών, επίλεξε «Ρυθμίσεις συστήματος» ή «CONFIG.exe».
SYSTEM_OPTION_CPU_TILING_3	και άλλαξε έτσι την κατάσταση σε GPU Tiling.
SYSTEM_OPTION_GPU_TILING_1	Η κατάσταση GPU Tiling μπορεί να εκτελείται πιο αργά σε έναν αργό υπολογιστή.
SYSTEM_OPTION_GPU_TILING_2	Αν υπάρχουν προβλήματα γραφικών, επίλεξε «Επιλογές συστήματος» ή «CONFIG.exe».
SYSTEM_OPTION_GPU_TILING_3	και άλλαξε έτσι την κατάσταση σε GPU Tiling.
SYSTEM_OPTION_TILING_EXIT	Για την αλλαγή της κατάστασης Tiling πρέπει να γίνει επανεκκίνηση παιχνιδιού.
TARGET_BUTTON_ACCEPT_FIGHT	Συμφωνία
TARGET_BUTTON_AVENGE	Εκδίκηση
TARGET_BUTTON_BUILDING_DESTROY	Καταστροφή
TARGET_BUTTON_DISMOUNT	Αφίππευση
TARGET_BUTTON_EMOTION_ALLOW	Συναισθήματα
TARGET_BUTTON_EXCHANGE	Ανταλλαγή
TARGET_BUTTON_EXCLUDE	Αποκλεισμός
TARGET_BUTTON_EXIT_OBSERVER	Τέλος Observer Mode
TARGET_BUTTON_FIGHT	Μονομαχία
TARGET_BUTTON_FRIEND	Φίλος
TARGET_BUTTON_INVITE_GUILD	Πρόσκληση Συντεχνίας
TARGET_BUTTON_INVITE_PARTY	Πρόσκληση Ομάδας
TARGET_BUTTON_LEAVE_PARTY	Εγκατάλειψη Ομάδας
TARGET_BUTTON_REQUEST_ENTER_PARTY	Μπες στην Ομάδα
TARGET_BUTTON_VIEW_EQUIPMENT	Πανοπλία
TARGET_BUTTON_WHISPER	Ψίθυρος
TARGET_LEVEL_BOSS	Αρχηγός
TARGET_LEVEL_KING	Επίπεδο 5.
TARGET_LEVEL_KNIGHT	Επίπεδο 3.
TARGET_LEVEL_PAWN	Επίπεδο 1.
TARGET_LEVEL_S_KNIGHT	Επίπεδο 4.
TARGET_LEVEL_S_PAWN	Επίπεδο 2.
TASKBAR_ATTACK	Επίθεση
TASKBAR_AUTO	Αυτόματη επίθεση
TASKBAR_CAMERA	Κάμερα
TASKBAR_EXP	Εμπειρία
TASKBAR_HP	ΗΡ
TASKBAR_MOVE	Κίνηση
TASKBAR_SKILL	Ικανότητα
TASKBAR_SP	SP
TASKBAR_ST	AP
THING_COUNT	όλα
TOOLTIP_ANTI_SELL	Δεν μπορεί να πουληθεί σε κατάστημα.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Δυνατό ενάντια σε Ζώα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Δυνατό ενάντια σε Νίντζα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Δυνατό ενάντια σε Διάβολο +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Δυνατό ενάντια σε Ημιανθρώπους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Δυνατό ενάντια σε Μυστικιστές +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Δυνατό ενάντια σε Τέρατα +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Δυνατό ενάντια σε Ορκ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Δυνατό ενάντια σε Σαμάνους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Δυνατό ενάντια σε Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Δυνατό ενάντια σε Απέθαντους +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Δυνατό ενάντια σε Πολεμιστές +%d%%	SA
TOOLTIP_APPLY_BLOCK	Πιθανότητα απόκρουσης επίθεσης σώμα με σώμα %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Αναπληρώνει SP κάθε 5 δευτερόλεπτα σε μάχη %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Πιθανότητα Κρίσιμου Χτυπήματος +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% πιθανότητα να ανακτήσεις SP όταν σε χτυπήσουν	SA
TOOLTIP_APPLY_DODGE	%d%% πιθανότητα να αποφύγεις βέλη	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% πιθανότητα για μπόνους ΕΜΠ	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% πιθανότητα για διπλάσια Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Ανοσία στην πτώση	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Άμυνα στην καθυστέρηση	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Άμυνα στη λιποθυμία	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% πιθανότητα για διπλάσια αντικείμενα	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% πιθανότητα ανάκτησης HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% πιθανότητα ανάκτησης SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Πιθανότητα κλοπής Μάνα	SA
TOOLTIP_APPLY_MAX_HP_PCT	Μεγ. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Μεγ. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Χωρίς αποτέλεσμα
TOOLTIP_APPLY_NO_DEATH_PENALTY	Δεν χάνονται βαθμοί εμπειρίας κατά την ανάσταση του χαρακτήρα στον τόπο θανάτου.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Πιθανό Χτύπημα Διάτρησης	SA
TOOLTIP_APPLY_POISON_PCT	Πιθανότητα Δηλητηρίασης %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Αντίσταση στο δηλητήριο %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Αύξηση επίδρασης φίλτρου %d%%	SA
TOOLTIP_APPLY_REFLECT_CURSE	Πιθανότητα ανάκλασης κατάρας: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% πιθανότητα ανάκλασης χτυπήματος σώμα με σώμα	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Πιθανότητες άμυνας από επιθέσεις Νίντζα: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Άμυνα Καμπάνας %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Άμυνα Στιλέτου %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Άμυνα Βεντάλιας%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Πιθανότητες άμυνας από επιθέσεις σαμάνου: %d%% 	SA
TOOLTIP_APPLY_RESIST_SURA	Πιθανότητες άμυνας από επιθέσεις Sura: %d%% 	SA
TOOLTIP_APPLY_RESIST_SWORD	Άμυνα Ξίφους %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Άμυνα Δύο Χεριών %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Πιθανότητες άμυνας από επιθέσεις πολεμιστή: %d%% 	SA
TOOLTIP_APPLY_RESIST_WIND	Αντίσταση Ανέμου %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Η πιθανότητα να μάθεις από τα βιβλία, αναβαθμίστηκε κατά παράγοντα 2,5.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Αν αποτύχει η εκμάθηση, έχεις άλλη μια προσπάθεια.	SNA
TOOLTIP_APPLY_SLOW_PCT	%d%% πιθανότητα επιβράδυνσης	SA
TOOLTIP_APPLY_STEAL_HP	%d%% ζημιά θα απορροφηθεί από HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% ζημιά απορροφάται από SP.	SA
TOOLTIP_APPLY_STUN_PCT	%d%% πιθανότητα λιποθυμίας	SA
TOOLTIP_APPLY_RESIST_SWORD_PEN	Θραύση άμυνας Ξίφους %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND_PEN	Θραύση άμυνας δύο χεριών %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER_PEN	Θραύση άμυνας στιλέτου %d%%	SA
TOOLTIP_APPLY_RESIST_BELL_PEN	Θραύση άμυνας καμπάνας %d%%	SA
TOOLTIP_APPLY_RESIST_FAN_PEN	Διάσπαση της άμυνας Βεντάλιας %d%%	SA
TOOLTIP_APPLY_RESIST_BOW_PEN	Διάσπαση αντίστασης βέλους %d%%	SA
TOOLTIP_APPLY_RESIST_ATTBONUS_HUMAN	Αντίσταση σε ημιανθρώπους %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Δύναμη του κεραυνού  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Δύναμη του σκότους  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Δύναμη του Πάγου  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Δύναμη της φωτιάς  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Δύναμη της Γης  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Δύναμη του ανέμου  %d%%	SA
TOOLTIP_APPLY_RESIST_ICE	Αντίσταση πάγου %d%%	SA
TOOLTIP_APPLY_RESIST_EARTH	Αντίσταση στη γη %d%%	SA
TOOLTIP_APPLY_RESIST_DARK	Αντίσταση στο σκοτάδι %d%%	SA
TOOLTIP_APPLY_ANTI_CRITICAL_PCT	Άμυνα ενάντια σε κρίσιμα χτυπήματα   %d%%	SA
TOOLTIP_APPLY_ANTI_PENETRATE_PCT	Άμυνα ενάντια σε χτυπήματα Διάτρησης  %d%%	SA
TOOLTIP_APPLY_DEFENSE_BONUS	Άμυνα   %d%%	SA
TOOLTIP_ARMOR	Πανοπλία
TOOLTIP_ARROW	Βέλος
TOOLTIP_ASSASSIN	Νίντζα
TOOLTIP_ATT_GRADE	Αξία Επίθεσης +%d	SA
TOOLTIP_ATT_SPEED	Ταχύτητα Επίθεσης +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Ελιξήριο Ήλιου
TOOLTIP_AUTO_POTION_REST	Υπόλοιπο: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ελιξήριο Φεγγαριού
TOOLTIP_AUTO_POTION_USING	Ενεργό
TOOLTIP_BOW_DISTANCE	Βεληνεκές Τόξου +%dm	SA
TOOLTIP_BUYPRICE	Τιμή: %s
TOOLTIP_CAST_SPEED	Ταχύτητα Μαγείας +%d%%	SA
TOOLTIP_CON	Ζωτικότητα +%d	SA
TOOLTIP_DEF_GRADE	Άμυνα +%d	SA
TOOLTIP_DEX	Ευκινησία +%d	SA
TOOLTIP_EAR	Σκουλαρίκι
TOOLTIP_ETC	Κλπ.
TOOLTIP_FISHINGROD_EXP	Βαθμοί: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Επίπεδο: %d
TOOLTIP_FISHINGROD_UPGRADE1	Δώσε το στον ψαρά,
TOOLTIP_FISHINGROD_UPGRADE2	για να λάβεις ένα
TOOLTIP_FISHINGROD_UPGRADE3	καλύτερο Καλάμι Ψαρέματος.
TOOLTIP_FISH_LEN	Μήκος: %.2fcm
TOOLTIP_HELMET	Κράνος
TOOLTIP_HP_REGEN	Αναπλήρωση HP +%d%%	SA
TOOLTIP_INT	Ευφυΐα +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Αξία Επίθεσης %d
TOOLTIP_ITEM_ATT_POWER	Αξία Επίθεσης %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Αξία Επίθεσης %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Αξία Επίθεσης %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Ταχύτητα Επίθεσης %s
TOOLTIP_ITEM_DEF_GRADE	Άμυνα %d
TOOLTIP_ITEM_FAST	Γρήγορα
TOOLTIP_ITEM_DURABILITY	Διάρκεια ζωής:% 2f %%
TOOLTIP_ITEM_LIMIT_CON	Μέγιστο όριο ζωτικότητας (VIT): %d
TOOLTIP_ITEM_LIMIT_DEX	Ανώτατο όριο ευκινησίας: %d
TOOLTIP_ITEM_LIMIT_INT	Ανώτατο όριο Ευφυΐας: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Από Επ.: %d
TOOLTIP_ITEM_LIMIT_STR	Ανώτατο όριο Δύναμης: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Αξία Μαγικής άμυνας %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Αξία Μαγικής άμυνας %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Μαγική άμυνα %d
TOOLTIP_APPLY_MAGIC_ATTBONUS_PER	Μαγική επίθεση  %d%%
TOOLTIP_APPLY_MELEE_MAGIC_ATTBONUS_PER	Μαγική/σώμα με σώμα επίθεση  %d%%
TOOLTIP_ITEM_NORMAL	Κανονικό
TOOLTIP_ITEM_SLOW	Αργό
TOOLTIP_ITEM_VERY_FAST	Πολύ Γρήγορο
TOOLTIP_ITEM_VERY_SLOW	Πολύ Αργό
TOOLTIP_ITEM_WEARABLE_JOB	[Φοριέται]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Τυχερός Αριθμός: %d
TOOLTIP_MAGIC_ATT_GRADE	Αξία Μαγικής άμυνας +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Μαγική άμυνα +%d	SA
TOOLTIP_MALL_ATTBONUS	Αξία Επίθεσης +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	
ACCE_WINDOW_ONLY_WEAPONS	You can only absorb weapons.
TOOLTIP_MALL_AUTOLOOT	Μαζεύει αυτόματα τα πεσμένα Yang	SNA
TOOLTIP_MALL_DEFBONUS	Άμυνα +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Άμυνα 	SNA
TOOLTIP_MALL_EXPBONUS	ΕΜΠ +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% περισσότερη ΕΜΠ	SNA
TOOLTIP_MALL_FISH_MIND	Αυξάνει την πιθανότητα να πιάσεις ψάρι.	SNA
TOOLTIP_MALL_GOLDBONUS	Η πιθανότητα να βρεις Yang αυξάνεται κατά %.1f%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Διπλασιάζει την πιθανότητα να βρεις Yang	SNA
TOOLTIP_MALL_ITEMBONUS	Πιθανότητα εύρεσης αντικειμένων (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Διπλασιάζει την πιθανότητα να βρεις αντικείμενα	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Οι βαθμοί αγάπης αυξάνονται γρηγορότερα.	SNA
TOOLTIP_MALL_SAFEBOX	Κερδίζεις επιπλέον αποθηκευτικό χώρο	SNA
TOOLTIP_MAX_HP	Μέγ. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Μέγ. HP +%d%%	SA
TOOLTIP_MAX_SP	Μέγ. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Μέγ. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Μέγ. Αντοχή +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Ταχύτητα %d%%	SA
TOOLTIP_NECK	Περιδέραιο
TOOLTIP_NEED_ALL_SP	Απαιτούμενη SP: Μέγ.
TOOLTIP_NEED_GSP	Απαιτούμενο Δρακοφάντασμα: %d
TOOLTIP_NEED_HP	Απαιτούμενοι HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Δευτ.: %d
TOOLTIP_NEED_SKILL_POINT	Απαιτούμενοι πόντοι Ικανοτήτων:
TOOLTIP_NEED_SP	Απαιτούμενοι SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Δευτ.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Επόμενο Επίπεδο: %d (Μέγ. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Επόμενο Επίπεδο: %d (Μέγ. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Μέση Ζημιά %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Μέση Αντίσταση Ζημιάς %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Πάνω από %d μέλη Ομάδας
TOOLTIP_PARTY_INFO_GRADE_UP2	Επίπεδο Επίθεσης +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Επίπεδο Άμυνας +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Αναπλήρωση HP/SP όλων των μελών της ομάδας για 60 λεπτά.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Αναπλήρωση HP/SP όλων των μελών της ομάδας για 30 λεπτά.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Πρέπει να περιμένεις 3 λεπτά μετά το θάνατο μέλους.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Μπορείς να καλέσεις ανά πάσα στιγμή μέλη της ομάδας που είναι στον ίδιο σέρβερ.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Επίπεδο Επίθεσης +(Αριθμός Μελών Ομάδας/2) Επιτιθέμενοι %d μπορούν να επιλεχθούν.
TOOLTIP_PARTY_INFO_SET_TANKER	Επίπεδο άμυνας +( Αριθμός Μελών Ομάδας) Μαχητές Σώμα με Σώμα 1 μπορούν να επιλεγούν.
TOOLTIP_PARTY_SKILL_LEVEL	Τρέχον Επίπεδο: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Αναβαθμίστηκε Επίθεση/Άμυνα]
TOOLTIP_PARTY_TITLE_HEAL	[Αποκατάσταση]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Όταν έχεις πάνω από %d μέλη ομάδας, παίρνεις %d%% μπόνους ΕΜΠ.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Μπόνους ΕΜΠ]
TOOLTIP_PARTY_TITLE_RECALL	[Κλήση]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Ορισμός Επιτιθέμενου]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Σύνταξε μαχητή Σώμα με Σώμα]
TOOLTIP_PICK_EXP	Βαθμοί: %d / %d
TOOLTIP_PICK_LEVEL	Επίπεδο: %d
TOOLTIP_PICK_UPGRADE1	Δώσ' το στον Υλοτόμο,
TOOLTIP_PICK_UPGRADE2	για να σου δώσει μία
TOOLTIP_PICK_UPGRADE3	αναβαθμισμένη Αξίνα.
TOOLTIP_POTION_CURE	Θεραπεία αρνητικών επιδράσεων.
TOOLTIP_POTION_MIN	Λεπ.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Ταχύτητα επίθεσης +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Ταχύτητα +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Δευτ.
TOOLTIP_POTION_TIME	Διάρκεια:
TOOLTIP_REQUIREMENT_21_LEVEL	Πρέπει να έχεις φτάσει στο Επίπεδο 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Πρέπει να έχεις φτάσει στο Επίπεδο 41.
TOOLTIP_REQUIREMENT_LEVEL	Πρέπει να έχεις φτάσει στο Επίπεδο %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Απαιτείται %s Επίπεδο %d.
TOOLTIP_REQUIREMENT_STAT_LEVEL	Απαιτείται %s %d
TOOLTIP_RESIST_BOW	Άμυνα βέλους %d%%	SA
TOOLTIP_RESIST_ELEC	Αντίσταση Αστραπής %d%%	SA
TOOLTIP_RESIST_FIRE	Αντίσταση Φωτιάς %d%%	SA
TOOLTIP_RESIST_MAGIC	Μαγική Αντίσταση %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Υπόλοιπο: %d
TOOLTIP_SELLPRICE	Τιμή: %s
TOOLTIP_SHAMAN	Σαμάνος
TOOLTIP_SHIELD	Ασπίδα
TOOLTIP_SHOES	Παπούτσια
TOOLTIP_SKILL	Ικανότητα	SNA
TOOLTIP_SKILLBOOK_NAME	Βιβλίο Ικανοτήτων
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Αξία Επίθεσης: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Αξία Επίθεσης:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Ταχύτητα Επίθεσης: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Άμυνα:
TOOLTIP_SKILL_AFFECT_DODGE	Αξία Επίθεσης Αντίπαλου: -
TOOLTIP_SKILL_AFFECT_HEAL	Επαναφορά HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Ταχύτητα Κίνησης: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Πιθανότητα απώθησης σωματικής επίθεσης:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Αντίσταση ενάντια στη σωματική ζημιά:
TOOLTIP_SKILL_COOL_TIME	Χρόνος Φόρτωσης: 
TOOLTIP_SKILL_DAMAGE_BONUS	Ζημιά Ικανοτήτων %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Αντίσταση ενάντια στη Ζημιά Ικανότητας %d%%	SA
TOOLTIP_SKILL_DURATION	Διάρκεια: %d Δευτ.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Βιβλίο της Λήθης
TOOLTIP_SKILL_LEVEL	Τρέχον Επίπεδο: %d
TOOLTIP_SKILL_LEVEL_MASTER	Τρέχον Επίπεδο: %d (Ειδικός)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Τρέχον Επίπεδο: %d (Μέγ. %d)
TOOLTIP_SOCKET_EMPTY	Άδειο
TOOLTIP_SOCKET_REFINABLE_ITEM	[Αντικείμενο με υποδοχή]
TOOLTIP_SP_REGEN	Αναπλήρωση SP +%d%%	SA
TOOLTIP_STR	Δύναμη +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Μοναδικό
V	Πολεμιστής
TOOLTIP_WEAPON	Όπλο
TOOLTIP_WRISTLET	Περικάρπιο
UI_ACCEPT	Αποδοχή
UI_CANCEL	Ακύρωση
UI_CLOSE	Κλείσιμο
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Απόρριψη
UI_ITEM	Αντικείμενο
UI_LEFT_TIME	Υπόλοιπος χρόνος: %d δευτ.
UI_NEXT	Συνέχεια
UI_NOCONTENTS	Χωρίς Περιεχόμενο
UI_NONAME	Χωρίς Όνομα
UI_OK	Εντάξει
UI_POS_UNKNOWN	Άγνωστο μέρος
UI_UNKNOWN	Άγνωστος
UPLOAD_MARK_CHECK_NEED_RECONNECT	Πρέπει να γίνει σύνδεση εκ νέου.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Πρέπει να γίνει σύνδεση εκ νέου.
USE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να χρησιμοποιήσεις αντικείμενα όσο έχεις ανοιχτό το ιδιωτικό κατάστημα.
USE_SKILL_ERROR_UNKNOWN	Άγνωστο σφάλμα ικανοτήτων: %s
TIME_DAY	Ημέρα
TIME_DAYS	Ημέρες
TIME_S_HOUR	Ώρα
TIME_HOUR	Ώρα
TIME_HOURS	Ώρες
TIME_MINUTE	λεπτό
TIME_MINUTES	λεπτά
TIME_S_MIN	Ελαχ.
TIME_S_SEC	Δευτερόλεπτα
TIME_SEC	δεύτερο
TIME_SECS	Δευτερόλεπτα
TIME_AND	και
UNIQUE_POPUP_DIALOG_NEVER_SHOW_AGAIN	Μην εμφανιστεί ξανά
SKILLBOOK_INVENTORY_POPUP_INFO	You can find your skill books in the FB warehouse, which is opened via the button in the inventory (Itemshop).
LOGIN_FAILURE_VERSION_CHECK	Ο client σου δεν είναι ενημερωμένος. [ENTER] Ο client τώρα θα κλείσει και θα ξεκινήσει η ενημέρωση. Όταν τελειώσει η ενημέρωση μπορείς να συνδεθείς ξανά.
SKILL_BLEEDING	Αιμορραγία
AFFECT_RED_POSSESSION	Purpurwolfseele
AFFECT_BLUE_POSSESSION	Indigowolfseele
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Δύναμη ενάντια σε Λυκανούς + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Επίθεση αιμορραγίας + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Αντίσταση σε επιθέσεις αιμορραγίας + %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Πιθανότητα άμυνας ενάντια σε Λυκανούς + %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Άμυνα νυχιών + %d%%	SA
TOOLTIP_WOLFMAN	Λυκανός
JOB_WOLFMAN	Λυκανός
JOB_WOLFMAN0	Ερασιτέχνης Λυκανός
JOB_WOLFMAN1	Ένστικτο
JOB_WOLFMAN2	N.A.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Πιθανότητα απορρόφησης: %d%%	SA
CUBE_STONE_MATERIAL_RANGE	Πέτρα  %d -  %d
CUBE_STONE_MATERIAL_SINGLE	Λιθος  %d
MAINTENANCE_DESCRIPTION	<TEXT text="Συντήρηση σε " font_size="LARGE"><TEXT text="%s" r=255 g=0 b=0 font_size="LARGE"><TEXT text=" Απαιτούμενος χρόνος: %s" font_size="LARGE">
GUILD_SAFEBOX_LOG_TEXT_CREATE	<TEXT text="%s" color="0xFFCAA76F"> απέκτησε την αποθήκη Συντεχνίας..
GUILD_SAFEBOX_LOG_TEXT_ITEM_GIVE	<TEXT text="%s" color="0xFFCAA76F"> αποθήκευσε <TEXT text="%d" color="0xFFCAA76F">x %s.
GUILD_SAFEBOX_LOG_TEXT_ITEM_TAKE	<TEXT text="%s" color="0xFFCAA76F"> αφαίρεσε <TEXT text="%d" color="0xFFCAA76F">x %s.
GUILD_SAFEBOX_LOG_TEXT_GOLD_GIVE	<TEXT text="%s" color="0xFFCAA76F">αποθήκευσε<TEXT text="%s" color="0xFFCAA76F"> Yang.
GUILD_SAFEBOX_LOG_TEXT_GOLD_TAKE	<TEXT text="%s" color="0xFFCAA76F"> αφαίρεσε <TEXT text="%s" color="0xFFCAA76F"> Yang.
GUILD_SAFEBOX_LOG_SIZE	<TEXT text="%s" color="0xFFCAA76F"> Has the size of the storage on <TEXT text="%d" color="0xFFCAA76F"> Pages expanded.
LOGIN_CHANGE_LANGUAGE_RESTART_CLIENT	Άλλαξες τη γλώσσα. O client θα κάνει επανεκκίνηση για να αποδεχτεί την αλλαγή.
WHISPER_OFFLINE_ACCEPT_TEXT	Στείλε
WHISPER_OFFLINE_CANCEL_TEXT	Ακύρωση
WHISPER_OFFLINE_MESSAGE_QUESTION	Ο %s είναι εκτός παιχνιδιού. Θες να του στείλεις ένα offline μύνημα που θα λάβει όταν μπει; [Enter] Η ενέργεια αυτή κοστίζει 15.000 Yang.
WHISPER_OFFLINE_MESSAGE_QUESTION_GM	Ο %s είναι εκτός παιχνιδιού. Θες να στείλεις ένα offline μήνυμα το οποίο θα το δει όταν συνδεθεί;
ITEM_REFUND_WINDOW_TITLE	Τα αντικείμενα επαναφέρθηκαν
ITEM_REFUND_DESCRIPTION1	Φαίνεται να έχασες αντικείμενα λόγω ενός λάθους τα οποία επαναφέρθηκαν.
