TOOLTIP_ACCE_ATTR_MAX_INFO	(máx. %s)
TOOLTIP_ITEM_LIMIT_INT	Limite máximo de Inteligência: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Nível Mínimo: %d
TOOLTIP_ITEM_LIMIT_STR	Limite máximo de Força: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valor de Ataque Mágico: %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valor de Ataque Mágico: %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Defesa vs Magias: %d
TOOLTIP_APPLY_MAGIC_ATTBONUS_PER	Ataque Mágico  %d%%
TOOLTIP_APPLY_MELEE_MAGIC_ATTBONUS_PER	Magia/dano médio  %d%%
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Muito Rápido
TOOLTIP_ITEM_VERY_SLOW	Muito Lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipável ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Número da Sorte: %d
TOOLTIP_MAGIC_ATT_GRADE	Valor de Ataque Mágico: +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Defesa vs Magias: +%d	SA
TOOLTIP_MALL_ATTBONUS	Valor de Ataque: +%d	SA
TOOLTIP_MALL_ATTBONUS_STATIC	
ACCE_WINDOW_ONLY_WEAPONS	You can only absorb weapons.
TOOLTIP_MALL_AUTOLOOT	Mão que apanha automaticamente o Yang caído.	SNA
TOOLTIP_MALL_DEFBONUS	Defesa: +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defesa: +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP: +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	Mais 50% de Experiência.	SNA
TOOLTIP_MALL_FISH_MIND	Dobro da probabilidade de apanhar Peixes Raros.	SNA
TOOLTIP_MALL_GOLDBONUS	Probabilidade de apanhar Yangs multiplicada por +%d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Dobro da probabilidade de apanhar Yang.	SNA
TOOLTIP_MALL_ITEMBONUS	Probabilidade de apanhar Itens multiplicada por +%d%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Dobro da probabilidade de apanhar Itens.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Pontos de Amor aumentam mais rapidamente.	SNA
TOOLTIP_MALL_SAFEBOX	O teu Armazém recebe mais 2 espaços de arrumação.	SNA
TOOLTIP_MAX_HP	Máx. VD: +%d	SA
TOOLTIP_MAX_HP_PCT	Máx. VD: +%d%%	SA
TOOLTIP_MAX_SP	Máx. MN: +%d	SA
TOOLTIP_MAX_SP_PCT	Máx. MN: +%d%%	SA
TOOLTIP_MAX_STAMINA	Máx. Resistência: +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Rapidez de Movimento: %d%%	SA
TOOLTIP_NECK	Colar
TOOLTIP_NEED_ALL_SP	MN necessário: Máx.
TOOLTIP_NEED_GSP	Dragões Fantasma necessários: %d
TOOLTIP_NEED_HP	VD necessário: %d
TOOLTIP_NEED_HP_PER_SEC	VD: %d / Seg
TOOLTIP_NEED_SKILL_POINT	Pontos de Habilidade necessários:
TOOLTIP_NEED_SP	MN necessário: %d
TOOLTIP_NEED_SP_PER_SEC	MN: %d / Seg
TOOLTIP_NEXT_SKILL_LEVEL_1	Próximo Nível: %d (Máx. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Próximo Nível: %d (Máx. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Dano Médio: %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Resistência a Dano Médio: %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Mais de %d Membros do Grupo.
TOOLTIP_PARTY_INFO_GRADE_UP2	Nível de Ataque: +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Nível de Defesa: +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restaura o VD/MN de todos os membros do Grupo a cada 60 minutos.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restaura o VD/MN de todos os membros do Grupo a cada 30 minutos.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Tens de esperar 3 minutos depois da morte de um membro do Grupo.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Podes chamar membros do Grupo que estejam no mesmo Servidor a qualquer altura.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Nível de Ataque +(Número de membros do grupo./2) Atacante %d pode ser escolhido.
TOOLTIP_PARTY_INFO_SET_TANKER	Nível de Defesa +(Número de membros do Grupo) pode ser escolhido 1 Lutador de Curta Distância.
TOOLTIP_PARTY_SKILL_LEVEL	Nível Actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Ataque/Defesa aumentada]
TOOLTIP_PARTY_TITLE_HEAL	[restaurar]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Quando tens mais de %d membros no Grupo obtens %d%% EXP bónus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[EXP Bónus]
TOOLTIP_PARTY_TITLE_RECALL	[Chamar]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constituir Atacante]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constituir Lutador de Curta Distância]
TOOLTIP_PICK_EXP	Pontos: %d / %d
TOOLTIP_PICK_LEVEL	Nível: %d
TOOLTIP_PICK_UPGRADE1	Entrega-a a um Lenhador
TOOLTIP_PICK_UPGRADE2	para conseguir uma
TOOLTIP_PICK_UPGRADE3	Picareta melhorada
TOOLTIP_POTION_CURE	Curar efeitos negativos.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Rapidez de Ataque: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	VD: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	VD: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Rapidez de Movimento: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MN: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MN: +%d
TOOLTIP_POTION_SEC	Seg.
TOOLTIP_POTION_TIME	Duração:
TOOLTIP_REQUIREMENT_21_LEVEL	Tens de ser no mínimo Nível 21.
TOOLTIP_REQUIREMENT_41_LEVEL	Tens de ser no mínimo Nível 41.
TOOLTIP_REQUIREMENT_LEVEL	Tens de ser no mínimo Nível %d.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Nível %d necessário.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necessário.
TOOLTIP_RESIST_BOW	Resistência contra Flechas: %d%%	SA
TOOLTIP_RESIST_ELEC	Resistência a Relâmpagos: %d%%	SA
TOOLTIP_RESIST_FIRE	Resistência contra Fogo: %d%%	SA
TOOLTIP_RESIST_MAGIC	Resistência a Magias: %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Sobram: %d
TOOLTIP_SELLPRICE	Preço: %s
TOOLTIP_SHAMAN	Xamã
TOOLTIP_SHIELD	Escudo
TOOLTIP_SHOES	Sapatos
TOOLTIP_SKILL	Habilidades	SNA
TOOLTIP_SKILLBOOK_NAME	Livro de Habilidades
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valor de Ataque: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valor de Ataque:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rapidez de Ataque: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defesa:
TOOLTIP_SKILL_AFFECT_DODGE	Rapidez de Ataque do Oponente: -
TOOLTIP_SKILL_AFFECT_HEAL	Restaura VD:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rapidez de Movimento: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance de reflectir ataques ao corpo:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistência a Danos Corporais:
TOOLTIP_SKILL_COOL_TIME	Tempo de carregamento: 
TOOLTIP_SKILL_DAMAGE_BONUS	Dano de Habilidades: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Resistência contra Dano de Habilidades: %d%%	SA
TOOLTIP_SKILL_DURATION	Duração: %d Seg.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Faixa de Esquecimento
TOOLTIP_SKILL_LEVEL	Nível Actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nível Actual: %d (Mestre)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nível Actual: %d (Máx. %d)
TOOLTIP_SOCKET_EMPTY	Vazio
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item com Socket]
TOOLTIP_SP_REGEN	Regeneração de MN: +%d%%	SA
TOOLTIP_STR	Força: +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Único
V	Guerreiro
TOOLTIP_WEAPON	Arma
TOOLTIP_WRISTLET	Pulseira
UI_ACCEPT	Aceitar
UI_CANCEL	Cancelar
UI_CLOSE	Fechar
UI_DEF_FONT	Arial:14
UI_DEF_FONT_LARGE	Arial:16
UI_DEF_FONT_SMALL	Arial:12
UI_DENY	Recusar
UI_ITEM	Item
UI_LEFT_TIME	Tempo Restante: %d Seg.
UI_NEXT	Continuar
UI_NOCONTENTS	Sem Conteúdo
UI_NONAME	Sem Nome
UI_OK	Ok
UI_POS_UNKNOWN	Localização Desconhecida
UI_UNKNOWN	Desconhecido
UPLOAD_MARK_CHECK_NEED_RECONNECT	O upload tem de começar de novo.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	O upload tem de começar de novo.
USE_ITEM_FAILURE_PRIVATE_SHOP	Não podes usar este Item porque tens uma Loja Privada aberta.
USE_SKILL_ERROR_UNKNOWN	Erro de Habilidade desconhecido: %s
TIME_DAY	Dia
TIME_DAYS	Dias
TIME_S_HOUR	Hora
TIME_HOUR	Hora
TIME_HOURS	Horas
TIME_MINUTE	minuto
TIME_MINUTES	minutos
TIME_S_MIN	mín.
TIME_S_SEC	sec.
TIME_SEC	Segundo
TIME_SECS	segundos
TIME_AND	e
UNIQUE_POPUP_DIALOG_NEVER_SHOW_AGAIN	Não mostrar de novo
SKILLBOOK_INVENTORY_POPUP_INFO	Podes encontrar os teus livros de habilidade num armazém especial clicano no armazém portátil e escolher o armazém de livros em baixo perto do botão de fechar.
LOGIN_FAILURE_VERSION_CHECK	O teu cliente não está atualizado. [ENTER] O cliente vai encerrar e começar o Patch. Depois de o Download estar completo, podes conectar-te ao servidor.
SKILL_BLEEDING	Sangrando
AFFECT_RED_POSSESSION	Purpurwolfseele
AFFECT_BLUE_POSSESSION	Indigowolfseele
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contra Lycans   %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Ataque de Sangramento  %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistência contra ataques de sangramento   %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Chance de defesa contra ataques Lycan %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Defesa contra Garras   %d%%	SA
TOOLTIP_WOLFMAN	Lycan
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan Amador
JOB_WOLFMAN1	Instinto
JOB_WOLFMAN2	N.A
TOOLTIP_APPLY_ACCEDRAIN_RATE	Taxa de Absorção: %d%%	SA
CUBE_STONE_MATERIAL_RANGE	Pedra  %d -  %d
CUBE_STONE_MATERIAL_SINGLE	Pedra +%d
MAINTENANCE_DESCRIPTION	<TEXT text="Manutenção no Servidor em " font_size="LARGE"><TEXT text="%s" r=255 g=0 b=0 font_size="LARGE"><TEXT text=" duração estimada: %s" font_size="LARGE">
GUILD_SAFEBOX_LOG_TEXT_CREATE	<TEXT text="%s" color="0xFFCAA76F"> adquiriu o armazém de guild.
GUILD_SAFEBOX_LOG_TEXT_ITEM_GIVE	<TEXT text="%s" color="0xFFCAA76F"> armazenou <TEXT text="%d" color="0xFFCAA76F">x %s.
GUILD_SAFEBOX_LOG_TEXT_ITEM_TAKE	<TEXT text="%s" color="0xFFCAA76F"> removeu <TEXT text="%d" color="0xFFCAA76F">x %s.
GUILD_SAFEBOX_LOG_TEXT_GOLD_GIVE	<TEXT text="%s" color="0xFFCAA76F"> depositou <TEXT text="%s" color="0xFFCAA76F"> Yang.
GUILD_SAFEBOX_LOG_TEXT_GOLD_TAKE	<TEXT text="%s" color="0xFFCAA76F"> removeu <TEXT text="%s" color="0xFFCAA76F"> Yang.
GUILD_SAFEBOX_LOG_SIZE	<TEXT text="%s" color="0xFFCAA76F">  Tem o tamanho do armazém em <TEXT text="%d" color="0xFFCAA76F"> Páginas expandidas.
LOGIN_CHANGE_LANGUAGE_RESTART_CLIENT	A linguagem foi alterada. O client irá ser reiniciado para as mudanças serem efetuadas.
WHISPER_OFFLINE_ACCEPT_TEXT	Enviar
WHISPER_OFFLINE_CANCEL_TEXT	Cancelar
WHISPER_OFFLINE_MESSAGE_QUESTION	%s de momento esta offline. [ENTER] Queres enviar uma mensagem offline para quando ele entrar poder ver? [ENTER] Uma mensagem offline custa 15,00 Yang.
WHISPER_OFFLINE_MESSAGE_QUESTION_GM	%s está atualmente offline. [ENTER] Desejas enviar uma mensagem offline de forma a que ele consiga ver quando ficar online?
ITEM_REFUND_WINDOW_TITLE	Itens recuperados
ITEM_REFUND_DESCRIPTION1	Parece que perdeste itens devido a um erro que foi corrigido.
ITEM_REFUND_DESCRIPTION2	Os seguintes itens foram recuperados:
SHOP_OFFLINE_TAKE_MONEY_DISPLAY	Remover %s
SHOP_OFFLINE_TAKE_MONEY_QUESTION	Quanto é que desejas tirar?
SHOP_CANNOT_TAKE_OFFLINE_SHOP_MONEY	Não podes retirar mais que o teu Yang, ultrapassas o limite maximo
SHOP_CANNOT_TAKE_OFFLINE_SHOP_MONEY_NO_MONEY	Não tem yang na loja offline.
OFFLINE_SHOP_INPUT_PRICE_INFO_TEXT	Indique o preço de %s:
OFFLINE_SHOP_CANNOT_CLOSE_TAKE_ITEMS	Tem que tirar o items todos primeiro.
OFFLINE_SHOP_CANNOT_CLOSE_TAKE_MONEY	Tens de tirar o yang primeiro.
MONEY_INPUT_DIALOG_RECVPRICE	Tu recebes: %s (%d%% tax)
MONEY_INPUT_DIALOG_SELLPRICE	Preço de Venda: %s
OFFLINE_SHOP_TIMEOUT_TEXT_TIMEOUT	Expirado
RESIST_HUMAN	Resistência contra Semi-Humanos
RESIST_MONSTER	Resistência a Monstro
OFFLINE_SHOP_TIMEOUT_TEXT	%s
SKILL_DEFEND_BONUS	Resistência a Habilidade
NORMAL_HIT_DEFEND_BONUS	Resistência a Dano Médio
OFFLINE_SHOP_TIMEOUT_TEXT_NOTIMEOUT	Permanente
DO_YOU_REALLY_BUY	Quer mesmo comprar %s por[ENTER]%s%s?
OFFLINE_SHOP_ITEM_DISABLED	De momento, esta função está desativada na loja offline móvel devido a um erro. Depois de o bug ter sido corrigido, a função será ativado novamente.
OFFLINE_SHOP_CLOSE_QUESTION	Queres fechar a loja offline?
SHOP_CANNOT_INSERT_ITEM_OFFLINE_SHOP_TIMEOUT	A Loja Offline já expirou. Tens que abrir uma nova para vender items.
UI_PREVPAGE	Voltar
UI_NEXTPAGE	Próximo
PET_STAT_MAIN	Bônus padrão: %s
PET_STAT_POINTS	<TEXT color="0xFFDE8A31" text="Punkte |">%d<TEXT color="0xFFDE8A31" text="|">
TOOLTIP_APPLY_PET_EXP_BONUS	Pet-Erfahrung +%d%%	SA
TOOLTIP_APPLY_RESIST_MONSTER	Defesa contra monstros  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_METIN	Forte contra Metins:  %d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Forte contra Bosses  %d%%	SA
SIDEBAR_TOOLTIP_SHOP	Loja Offline
SIDEBAR_TOOLTIP_GUILD_SAFEBOX	Armazém da Guild
SIDEBAR_TOOLTIP_MOUNT	Overview Montada
SIDEBAR_TOOLTIP_PET	Overview Pet
SIDEBAR_TOOLTIP_SAFEBOX	Armazém
TOOLTIP_ITEM_NO_TRADE	Este item não é negociável.
TOOLTIP_ITEM_NO_DESTROY	Este item não pode ser destruído
ITEM_DROP_OR_DESTROY_BTN_DESTROY	Destruir
ITEM_DROP_OR_DESTROY_BTN_DROP	Drop
CANNOT_DESTROY_ITEM	Este item não podem ser destruído.
SWITCHBOT_MAX_USE_SWITCHER_UNLIMITED	Ilimitado
SWITCHBOT_MAX_USE_QUESTION_TITLE	Max Rodares
SWITCHBOT_MAX_USE_QUESTION_DESC	Específica o número de rodares (0 = ilimitado):
SIDEBAR_TOOLTIP_SWITCHBOT	Bot de Rodar
STAT_TOOLTIP_CON10	 Aumenta 10x HTP e defesa
STAT_TOOLTIP_DEX10	Aumenta 10x a evasão de ataque
STAT_TOOLTIP_INT10	Aumenta 10x a MN, Ataque Mágico e Defesa.
STAT_TOOLTIP_STR10	Aumenta 10x valor de ataque e dano
TOOLTIP_VOTE4BUFF	Vota Para o Buff	SNA
TOOLTIP_ALIGNMENT_GOOD	Rank:  5% forte contra monstros
TOOLTIP_ALIGNMENT_BAD	Rank:   5% forte contra semi-humanos
CHAT_OPEN_LINK_DANGER	Tens a certeza que queres abrir o link? [ENTER] Este pode conter vírus ou malware.
DRAGON_SOUL_CANNOT_REFINE	Esta Pedra do Dragão não pode ser refinada.
DRAGON_SOUL_CANNOT_REFINE_MORE	A Pedra do Dragão já chegou ao máximo nível
DRAGON_SOUL_EQUIP_WARNING1	É dificil remover pedras do dragão quando já estão colocadas
DRAGON_SOUL_EQUIP_WARNING2	Gostarias de continuar?
DRAGON_SOUL_EXPIRED	Pedra do Dragão expirada
DRAGON_SOUL_INVALID_DRAGON_SOUL	Pedra do Dragão errada.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Isto não é uma Pedra do Dragão
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Essa não é a pedra do dragão adequada.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Não tens materiais suficientes para refinar.
DRAGON_SOUL_NOT_MATCHED_SLOT	A Pedra do Dragão não cabe neste espaço.
DRAGON_SOUL_STEP_LEVEL1	Claridade: Translúcida,
DRAGON_SOUL_STEP_LEVEL2	Claridade: limpa,
DRAGON_SOUL_STEP_LEVEL3	 Clareza: impecável,
DRAGON_SOUL_STEP_LEVEL4	Claridade: Brilhante,
DRAGON_SOUL_STEP_LEVEL5	Claridade: excelente
DRAGON_SOUL_STRENGTH	Nível:  %d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	A pedra de dragão pode ser Destruida no processo.
DRAGON_SOUL_UNEQUIP_WARNING2	Queres continuar?
DRAGON_SOUL_UNMATCHED_SLOT	Slot errado.
DRAGON_SOUL_UNQUALIFIED	Ainda não podes usar a Alquimia Pedra do Dragão.
TOOLTIP_DRAGON_SOUL_DECK1	Terra
TOOLTIP_DRAGON_SOUL_DECK2	Céu
PET_UPGRADE_ACCEPT_BUTTON_TEXT	Melhorar
PET_UPGRADE_ACCEPT_EVOLUTION_BUTTON_TEXT	Desenvolver
PET_UPGRADE_CANCEL_BUTTON_TEXT	Cancelar
PET_UPGRADE_INFO_HAPPINESS	Quanto maior o nível de satisfação, mais tempo o teu animal de estimação ficará satisfeito. [ENTER] No próximo nível, será necessário %s até que o teu pet esteja completamente insatisfeito.
PET_UPGRADE_INFO_RAGE	 Quanto maior o nível de raiva, mais tempo o modo de raiva fica inativo. [Enter] No próximo nível, o modo de raiva vai parar %s.
PET_UPGRADE_INFO_STAMINA	Quanto maior o nível de resistência, maior o valor de resistência do seu animal de estimação. [Enter] No próximo nível, seu animal de estimação terá uma resistência de %d .
PET_UPGRADE_PRICE	Custo: %s
PET_UPGRADE_TEXT_BONUS1	%d max. HP->%d max. HP
PET_UPGRADE_TEXT_BONUS2	%d Defesa -> %d Defesa
PET_UPGRADE_TEXT_BONUS3	%d%% forte contra monstros->%d%% forte contra monstros
PET_UPGRADE_TEXT_EVOLUTION	%s -> %s
PET_UPGRADE_TEXT_LEVEL	Nível %d-> nível %d
PET_UPGRADE_TITLE_BONUS1	Improvamento: max. TP
PET_UPGRADE_TITLE_BONUS2	Melhoramento: Defesa
PET_UPGRADE_TITLE_BONUS3	Melhoramento: Forte contra Monstros
PET_UPGRADE_TITLE_EVOLUTION	Evolução
PET_UPGRADE_TITLE_HAPPINESS	Melhoramento: Satisfação
PET_UPGRADE_TITLE_RAGE	Melhoramente: Raiva
PET_UPGRADE_TITLE_STAMINA	Melhoramento: Stamina
KING_HORSE_UPGRADE_SUCCESS	O melhoramento foi bem sucedido.
KING_HORSE_UPGRADE_FAIL	O melhoramento falhou.
HORSE_UPGRADE_INFO_RAGE	 Quanto maior o nível de raiva, mais tempo o modo de raiva fica inativo. [Enter] No próximo nível, o modo de raiva vai parar %s.
TARGET_INFO_LEVELLIMIT	(desde lv. %d)
TARGET_INFO_DAMAGE	Damage : %s - %s
TARGET_INFO_DEFENSE	Defence : %s
TARGET_INFO_EXP	Expierence : %s
TARGET_INFO_MAINRACE	Race : %s
TARGET_INFO_MAX_HP	Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	No Items droppable.
TARGET_INFO_NO_RACE	None
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Darkness
TARGET_INFO_RACE_DEVIL	Devil
TARGET_INFO_RACE_EARTH	Earth
TARGET_INFO_RACE_ELEC	Lightning 
TARGET_INFO_RACE_FIRE	Fire
TARGET_INFO_RACE_HUMAN	Half Human
TARGET_INFO_RACE_ICE	Ice
TARGET_INFO_RACE_MILGYO	Mystic 
TARGET_INFO_RACE_TREE	Àrvore
TARGET_INFO_RACE_ORC	Orcs
TARGET_INFO_RACE_UNDEAD	Undead
TARGET_INFO_RACE_WIND	Wind
TARGET_INFO_RACE_METIN	Stone
TARGET_INFO_STONE_NAME	Ghoststone
TARGET_INFO_SUBRACE	Subspecies : %s
ITEM_SUBTYPE_ARMOR_BODY	Armadura
ITEM_SUBTYPE_ARMOR_EAR	Brincos
ITEM_SUBTYPE_ARMOR_FOOTS	Sapatos
ITEM_SUBTYPE_ARMOR_HEAD	Elmo
ITEM_SUBTYPE_ARMOR_NECK	Colar
ITEM_SUBTYPE_ARMOR_SHIELD	Escudo
ITEM_SUBTYPE_ARMOR_WRIST	Pulseira
ITEM_SUBTYPE_COSTUME_ACCE	Faixa
ITEM_SUBTYPE_COSTUME_BODY	Armadura
ITEM_SUBTYPE_COSTUME_HAIR	Penteado
ITEM_SUBTYPE_COSTUME_HAIR_M	Penteado (homem)
ITEM_SUBTYPE_COSTUME_HAIR_W	Cabelo (feminino)
ITEM_SUBTYPE_COSTUME_MOUNT	Montada
ITEM_SUBTYPE_DISABLED	--------------------
ITEM_SUBTYPE_FISH_ALIVE	Vivo
ITEM_SUBTYPE_FISH_GRILLED	Grelhado
ITEM_SUBTYPE_MOUNT_SUB_FOOD	Alimentação
ITEM_SUBTYPE_MOUNT_SUB_REVIVE	Renascer
ITEM_SUBTYPE_MOUNT_SUB_SUMMON	Criatura
ITEM_SUBTYPE_NONE	Todos
ITEM_SUBTYPE_NONE_DISPLAY	Select sub-category...
ITEM_SUBTYPE_SPHAERA_SUB_PACK	Conjunto
ITEM_SUBTYPE_SPHAERA_SUB_TIME_ADD	Manipulação do Tempo
ITEM_SUBTYPE_WEAPON_ARROW	Flecha
ITEM_SUBTYPE_WEAPON_BELL	Campaínha
ITEM_SUBTYPE_WEAPON_BOW	Arco
ITEM_SUBTYPE_WEAPON_DAGGER	Adagas
ITEM_SUBTYPE_WEAPON_FAN	Leque
ITEM_SUBTYPE_WEAPON_SWORD	Espada
ITEM_SUBTYPE_WEAPON_TWO_HANDED	Duas mãos
ITEM_TYPE_ARMOR	Armadura
ITEM_TYPE_COSTUME	Disfarce
ITEM_TYPE_FISH	Peixe
ITEM_TYPE_MATERIAL	Outro
ITEM_TYPE_METIN	Pedra Espíritual
ITEM_TYPE_MOUNT	Montada
ITEM_TYPE_NONE	Tudo
ITEM_TYPE_NONE_DISPLAY	Escolhe tipo item
ITEM_TYPE_POLYMORPH	Transformação
ITEM_TYPE_QUEST	Missão
ITEM_TYPE_WEAPON	Arma
TEXT_TYPE_ITEMNAME	Nome Item
TEXT_TYPE_NONE	Sem correspondência
TEXT_TYPE_PLAYERNAME	Nome do Jogador
AUCTION_INFORMER_INFO_TEXT	Vendes-te %s por %s.
AUCTION_INFORMER_INFO_MULTI_TEXT	Vendeste %dx %s por %s.
AUCTION_INFORMER_RECEIVED_GOLD_TEXT	Receberás <TEXT color=0xFFCAA76F text="%s">.
AUCTION_GAME_MESSAGE_ITEM_BUY_NOT_EXIST	Infelizmente, este item foi vendido.
AUCTION_GAME_MESSAGE_ITEM_BUY_TIMEOUT	O tempo deste item expirou.
AUCTION_GAME_MESSAGE_ITEM_BUY_SUCCESS	Tu adquiriste o item com sucesso!
AUCTION_GAME_MESSAGE_ITEM_INSERT_SUCCESS	O item foi descontinuado com sucesso.
AUCTION_GAME_MESSAGE_ITEM_PRICE_TOO_HIGH	Não podes vender o item tão caro, porque se venderes todos os itens ativos, irias ultrapassar o teu limite de Yang.
AUCTION_GAME_MESSAGE_ITEM_TAKE_NOT_EXIST	Este item já foi vendido.
AUCTION_GAME_MESSAGE_ITEM_TAKE_SUCCESS	Removeste o item com sucesso.
AUCTION_GAME_MESSAGE_ITEM_WRONG_PRICE	Este item foi modificado e não está disponível pelo preço antigo.
AUCTION_GAME_MESSAGE_NO_ITEMS_FOUND	Não foram encontrados items com as opções de procura selecionadas.
AUCTION_ITEM_SUB_INFO	Preço: %s
AUCTION_MESSAGE_CANNOT_SELL_EQUIPPED_ITEM	Tens de colocar o item no inventário primeiro.
AUCTION_MESSAGE_INVALID_ANTIFLAG	Deves selecionar pelo menos uma classe.
AUCTION_MESSAGE_NOT_ENOUGH_MONEY	Não tens yang suficiente.
AUCTION_ORDER_TOOLTIP_TEXT_ASC	Ascendente
AUCTION_ORDER_TOOLTIP_TEXT_DESC	Descendente
AUCTION_PRICE_CHANGE_TOOLTIP_TEXT_ASC	Preço total
AUCTION_PRICE_CHANGE_TOOLTIP_TEXT_DESC	Preço Unidade (preço por pedaço)
AUCTION_PRICE_DISPLAY_TEXT_ASC	Preço
AUCTION_PRICE_DISPLAY_TEXT_DESC	Preço Unidade
AUCTION_QUESTION_REALLY_BUY_ITEM	Comprar o item por %s?
AUCTION_QUESTION_REALLY_BUY_ITEM_TITLE	Comprar o item
AUCTION_QUESTION_REALLY_TAKE_ITEM	Tens a certeza que queres tirar este item?
AUCTION_QUESTION_REALLY_TAKE_ITEM_TITLE	Remover Item
AUCTION_SELL_PRICE_DISPLAY	Price: %s
AUCTION_SELL_REWARD_PRICE_DISPLAY	Recebe: %s
AUCTION_PREMIUM_INFO_ACTIVE	O estatudo de Premium está ativo. Podes ver todas as lojas dos jogadores e comprar os itens diretamente no sistema de procura.
AUCTION_PREMIUM_INFO_INACTIVE	O estatuto de Premium está inativo. Tu apenas vês as lojas do teu mapa atual e, quando vês um item, a loja é marcada no mapa. Com o estatuto Premium, é possível comprar itens diretamente.
AUCTION_PREMIUM_TEXT_ACTIVE	Premium activo
AUCTION_PREMIUM_TEXT_INACTIVE	Premium inactivo
YES	Sim
NO	Não
MOVE_CHANNEL_TITLE	Mudar de Canal
MESSENGER_TEAM	Equipa
MESSENGER_BLOCK	Bloqueado
