TOOLTIP_ACCE_ATTR_MAX_INFO	(max.%s)
TOOLTIP_BOW_DISTANCE	Autonomia arcului +%dm	SA
TOOLTIP_BUYPRICE	Preþ: %s
TOOLTIP_CAST_SPEED	Viteza farmecului +%d%%	SA
TOOLTIP_CON	Vitalitate +%d	SA
TOOLTIP_DEF_GRADE	Apãrare +%d	SA
TOOLTIP_DEX	Dexteritate +%d	SA
TOOLTIP_EAR	Cercel
TOOLTIP_ETC	etc.
TOOLTIP_FISHINGROD_EXP	Puncte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nivel: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dã-o pescarului
TOOLTIP_FISHINGROD_UPGRADE2	pentru a realiza din ea
TOOLTIP_FISHINGROD_UPGRADE3	undiþã
TOOLTIP_FISH_LEN	Lungime: %.2fcm
TOOLTIP_HELMET	Coif
TOOLTIP_HP_REGEN	Regenerarea PV +%d%%	SA
TOOLTIP_INT	Inteligenþã +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER	Valoarea atacului %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valoarea atacului %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Viteza de atac %s
TOOLTIP_ITEM_DEF_GRADE	Apãrare %d
TOOLTIP_ITEM_FAST	Repede
TOOLTIP_ITEM_DURABILITY	Durabilitate: %.2f%%
TOOLTIP_ITEM_LIMIT_CON	Limita superioarã a vitalitãþii %d
TOOLTIP_ITEM_LIMIT_DEX	Limita Superioarã a Dexteritãþii: %d
TOOLTIP_ITEM_LIMIT_INT	Limita superioarã a inteligenþei: %d
TOOLTIP_ITEM_LIMIT_LEVEL	De la nivelul: %d
TOOLTIP_ITEM_LIMIT_STR	Limita superioarã a Puterii: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valoarea atacului magic %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valoarea atacului magic %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Apãrare magicã %d
TOOLTIP_APPLY_MAGIC_ATTBONUS_PER	Atac Magic +%d%%
TOOLTIP_APPLY_MELEE_MAGIC_ATTBONUS_PER	Atac magic/ Atac din apropiere +%d%%
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Încet
TOOLTIP_ITEM_VERY_FAST	Foarte repede
TOOLTIP_ITEM_VERY_SLOW	Foarte încet
TOOLTIP_ITEM_WEARABLE_JOB	[ echipabil ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numãr norocos: %d
TOOLTIP_MAGIC_ATT_GRADE	Valoarea atacului magic +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Apãrare magicã +%d	SA
TOOLTIP_MALL_ATTBONUS	Valoarea atacului +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valoarea Atacului +10%	SNA
ACCE_WINDOW_ONLY_WEAPONS	Poti absorbi doar armele
TOOLTIP_MALL_AUTOLOOT	Yang este însuºit automat.	SNA
TOOLTIP_MALL_DEFBONUS	Apãrare +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Apãrare +20%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mai mult EXP	SNA
TOOLTIP_MALL_FISH_MIND	ªansa de a prinde un peºte este mai mare.	SNA
TOOLTIP_MALL_GOLDBONUS	Sansa de drop Yang crescuta cu %.1f%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Dubleaza sansa de drop Yang	SNA
TOOLTIP_MALL_ITEMBONUS	ªansã de drop obiecte (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	ªansã dublã drop obiecte	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punctele de dragoste cresc mai repede.	SNA
TOOLTIP_MALL_SAFEBOX	Mai mult spaþiu de depozitare stã la dispoziþie.	SNA
TOOLTIP_MAX_HP	Max. PV +%d	SA
TOOLTIP_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_MAX_SP	Max. PM +%d	SA
TOOLTIP_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_MAX_STAMINA	Rezistenþã max. +%d	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	EROARE-GPS(%d, %d)
TOOLTIP_MOV_SPEED	Viteza de miºcare %d%%	SA
TOOLTIP_NECK	Colier
TOOLTIP_NEED_ALL_SP	PM necesare: Max.
TOOLTIP_NEED_GSP	Spirit Dragon necesar: %d
TOOLTIP_NEED_HP	PV necesare: %d
TOOLTIP_NEED_HP_PER_SEC	PV/Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Puncte de calificare necesare:
TOOLTIP_NEED_SP	PM necesare: %d
TOOLTIP_NEED_SP_PER_SEC	SP/Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nivelul urmãtor: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nivelul urmãtor: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Paguba medie %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Rezistenþa medie la pagubã %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Peste %d membri ai grupei
TOOLTIP_PARTY_INFO_GRADE_UP2	Categoria de atac +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Categoria de aparare +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 60 de minute.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 30 de minute.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Trebuie sã aºtepþi 3 minute dupã moartea membrului grupei.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Poþi striga încoace oricând membri ai grupei de pe acelaºi server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Categoria de atac +(Membri grupei/2) %d atacatorii pot fi alesi.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivelul de aparare +(Numãrul Membri grupei) luptãtorii cu sabia 1 pot fi aleºi.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atac/apãrare îmbunãtãþit]
TOOLTIP_PARTY_TITLE_HEAL	[Reface]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mai mult de %d membri ai grupei oferã %d%% EXP-bonus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Strigã încoace]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Stabileºte atacatorul]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Stabileºte luptãtor cu sabia]
TOOLTIP_PICK_EXP	Puncte: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Dã-o tãietorului de lemne
TOOLTIP_PICK_UPGRADE2	pentru a realiza din ea
TOOLTIP_PICK_UPGRADE3	Târnãcop
TOOLTIP_POTION_CURE	Anuleazã efectele negative.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Viteza de atac +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PV +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Viteza de miºcare +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_REQUIREMENT_21_LEVEL	Trebuie sã fi atins nivelul 21
TOOLTIP_REQUIREMENT_41_LEVEL	Trebuie sã fi atins nivelul 41
TOOLTIP_REQUIREMENT_LEVEL	Trebuie sã fi atins nivelul %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s nivelul %d necesar
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necesar
TOOLTIP_RESIST_BOW	Rezistenþa la sãgeþi %d%%	SA
TOOLTIP_RESIST_ELEC	Rezistenþa la fulger %d%%	SA
TOOLTIP_RESIST_FIRE	Rezistenþa la foc %d%%	SA
TOOLTIP_RESIST_MAGIC	Rezistenþa la magie %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Rãmas: %d
TOOLTIP_SELLPRICE	Preþ: %s
TOOLTIP_SHAMAN	ªaman
TOOLTIP_SHIELD	Scut
TOOLTIP_SHOES	Papuci
TOOLTIP_SKILL	Abilitate	SNA
TOOLTIP_SKILLBOOK_NAME	Cartea Abilitãþii
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valoarea atacului: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valoarea atacului:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Viteza de atac: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Apãrare:
TOOLTIP_SKILL_AFFECT_DODGE	Valoarea atacului inamic: -
TOOLTIP_SKILL_AFFECT_HEAL	Reînnoieºte PV:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Viteza de miºcare: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	ªansa de a evita un atac corporal:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Rezistenþã la pagubã corporalã:
TOOLTIP_SKILL_COOL_TIME	Re-încãrcare: 
TOOLTIP_SKILL_DAMAGE_BONUS	Paguba Abilitãþii %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Rezistenþã la Paguba Abilitãþii %d%%	SA
TOOLTIP_SKILL_DURATION	Durata: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Cartea Uitãrii
TOOLTIP_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nivel actual: %d (Maestru)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nivel actual: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Gol
TOOLTIP_SOCKET_REFINABLE_ITEM	[Obiect cu suport]
TOOLTIP_SP_REGEN	Regenerare PM +%d%%	SA
TOOLTIP_STR	Putere +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_UNIQUE	Unic
V	Rãzboinic
TOOLTIP_WEAPON	Armã
TOOLTIP_WRISTLET	Brãþarã
UI_ACCEPT	Acceptã
UI_CANCEL	Întrerupere
UI_CLOSE	Închide
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Refuzã
UI_ITEM	Obiect
UI_LEFT_TIME	Timp rãmas: %d sec.
UI_NEXT	Continuã
UI_NOCONTENTS	Niciun conþinut
UI_NONAME	Niciun nume
UI_OK	OK
UI_POS_UNKNOWN	Localitate necunoscutã
UI_UNKNOWN	Necunoscut
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload-ul trebuie pornit încã odatã
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload-ul terbuie pornit încã odatã
USE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi folosi obiectul dacã ai deschis un magazin.
USE_SKILL_ERROR_UNKNOWN	Greºealã de abilitate necunoscutã: %s
TIME_DAY	Zi
TIME_DAYS	Zile
TIME_S_HOUR	Ora
TIME_HOUR	Ora
TIME_HOURS	Ore
TIME_MINUTE	Minut
TIME_MINUTES	Minute
TIME_S_MIN	Min.
TIME_S_SEC	Sec.
TIME_SEC	Secunda
TIME_SECS	Secunde
TIME_AND	si
UNIQUE_POPUP_DIALOG_NEVER_SHOW_AGAIN	nu arata din nou
SKILLBOOK_INVENTORY_POPUP_INFO	Cartile de abilitate le gasesti in Inventarul de Carti, pe care il poti accesa prin Butonul Inventar ("(Itemshop-)Deschide depozit")
LOGIN_FAILURE_VERSION_CHECK	Clientul tau nu este actualizat.[ENTER]Clientul se va inchide si va porni Patcher-ul. Dupa actualizare te vei putea loga din nou
SKILL_BLEEDING	Sangerare
AFFECT_RED_POSSESSION	Sufletul Lupului Rosu
AFFECT_BLUE_POSSESSION	Sufletul Lupului Indigo
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Puternic impotriva Lycanilor + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Atac sangeros + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Rezistenta impotriva atacului sangeros + %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Sansa de aparare impotriva atacului Lycan %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Sansa de aparare impotriva coltilor + %d%%	SA
TOOLTIP_WOLFMAN	Lycan
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan Fals
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Rata de absorbtie: %d%%	SA
CUBE_STONE_MATERIAL_RANGE	Piatra +%d - +%d
CUBE_STONE_MATERIAL_SINGLE	Piatra +%d
MAINTENANCE_DESCRIPTION	<TEXT text="Mentenanta-Server in " font_size="LARGE"><TEXT text="%s" r=255 g=0 b=0 font_size="LARGE"><TEXT text=" mentenanta dureaza: %s" font_size="LARGE">
GUILD_SAFEBOX_LOG_TEXT_CREATE	<TEXT text="%s" color="0xFFCAA76F"> a achizitionat terenul breslei
GUILD_SAFEBOX_LOG_TEXT_ITEM_GIVE	<TEXT text="%s" color="0xFFCAA76F"> a depozitat <TEXT text="%d" color="0xFFCAA76F">x %s
GUILD_SAFEBOX_LOG_TEXT_ITEM_TAKE	<TEXT text="%s" color="0xFFCAA76F"> a extras <TEXT text="%d" color="0xFFCAA76F">x %s 
GUILD_SAFEBOX_LOG_TEXT_GOLD_GIVE	<TEXT text="%s" color="0xFFCAA76F"> a depozitat <TEXT text="%s" color="0xFFCAA76F"> Yang
GUILD_SAFEBOX_LOG_TEXT_GOLD_TAKE	<TEXT text="%s" color="0xFFCAA76F">a extras<TEXT text="%s" color="0xFFCAA76F"> Yang
GUILD_SAFEBOX_LOG_SIZE	<TEXT text="%s" color="0xFFCAA76F"> a marit depozitul la <TEXT text="%s" color="0xFFCAA76F"> Pagini
LOGIN_CHANGE_LANGUAGE_RESTART_CLIENT	Ai schimbat limba. Clientul va reporni pentru a actualiza schimbarile.
WHISPER_OFFLINE_ACCEPT_TEXT	Trimite
WHISPER_OFFLINE_CANCEL_TEXT	Anulare
WHISPER_OFFLINE_MESSAGE_QUESTION	%s este momentan offline.[ENTER]Doresti sa-i trimiti un mesaj offline, pentru a-l primi de indata ce va fi din online?[ENTER]Un mesaj offline costa 15.000 Yang.
WHISPER_OFFLINE_MESSAGE_QUESTION_GM	%s este momentan offline.[ENTER]Doresti sa-i trimiti un mesaj offline, pentru a-l primi de indata ce va fi din online?
ITEM_REFUND_WINDOW_TITLE	Restaurare iteme
ITEM_REFUND_DESCRIPTION1	Se pare ca ai pierdut iteme in urma unei erori, acum ti-au fost restituite.
ITEM_REFUND_DESCRIPTION2	Urmatoarele iteme a fost restituite
SHOP_OFFLINE_TAKE_MONEY_DISPLAY	%s extras
SHOP_OFFLINE_TAKE_MONEY_QUESTION	Cat doresti sa extragi?
SHOP_CANNOT_TAKE_OFFLINE_SHOP_MONEY	Nu poti obtine asa mult, deoarece vei depasi limita de Yang.
SHOP_CANNOT_TAKE_OFFLINE_SHOP_MONEY_NO_MONEY	Nu ai Yang in Shop-ul Offline
OFFLINE_SHOP_INPUT_PRICE_INFO_TEXT	Introdu pretul pentru %s :
OFFLINE_SHOP_CANNOT_CLOSE_TAKE_ITEMS	Mai intai trebuie sa scoti toate obiectele.
OFFLINE_SHOP_CANNOT_CLOSE_TAKE_MONEY	Mai intai trebuie sa scoti Yang-ul
MONEY_INPUT_DIALOG_RECVPRICE	Ai primit: %s (%d%% Impozit)
MONEY_INPUT_DIALOG_SELLPRICE	Preþ de vânzare: %s
OFFLINE_SHOP_TIMEOUT_TEXT_TIMEOUT	Expirat
RESIST_HUMAN	Rezistenta impotriva semi-oamenilor
RESIST_MONSTER	Rezistenta impotriva monstrilor
OFFLINE_SHOP_TIMEOUT_TEXT	%s
SKILL_DEFEND_BONUS	Rezistenta Paguba Abilitatii
NORMAL_HIT_DEFEND_BONUS	Rezisteanta Paguba Medie
OFFLINE_SHOP_TIMEOUT_TEXT_NOTIMEOUT	Permanent
DO_YOU_REALLY_BUY	Esti sigur ca vrei sa cumperi %s for[ENTER]%s %s?
OFFLINE_SHOP_ITEM_DISABLED	Aceasta functie este dezactivata pentru Shop-ul Offline mobil datorita unei erori. De indata ce  va fi fixata eroarea Functia va fi din nou activa.
OFFLINE_SHOP_CLOSE_QUESTION	Doresti sa inchizi magazinul Offline?
SHOP_CANNOT_INSERT_ITEM_OFFLINE_SHOP_TIMEOUT	Magazinul Offline este deja expirat. Va trebui sa deschizi unul nou, pentru a putea vinde in continuare.
UI_PREVPAGE	inapoi
UI_NEXTPAGE	Urmatorul
PET_STAT_MAIN	Standard-Bonus: %s
PET_STAT_POINTS	<TEXT color="0xFFDE8A31" text="Puncte |">%d<TEXT color="0xFFDE8A31" text="|">
TOOLTIP_APPLY_PET_EXP_BONUS	Experienta-Pet +%d%%	SA
TOOLTIP_APPLY_RESIST_MONSTER	Aparare impotriva monstrilor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_METIN	Tare impotriva Metinelor +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOSS	Tare impotriva Bossi +%d%%	SA
SIDEBAR_TOOLTIP_SHOP	Shop-Offline
SIDEBAR_TOOLTIP_GUILD_SAFEBOX	Depozit Breasla
SIDEBAR_TOOLTIP_MOUNT	Mount-vizualizare
SIDEBAR_TOOLTIP_PET	Pet-vizualizare
SIDEBAR_TOOLTIP_SAFEBOX	Depozit
TOOLTIP_ITEM_NO_TRADE	Acest item nu este negociabil.
TOOLTIP_ITEM_NO_DESTROY	Acest item nu poate fi distrus.
ITEM_DROP_OR_DESTROY_BTN_DESTROY	Distruge
ITEM_DROP_OR_DESTROY_BTN_DROP	Arunca
CANNOT_DESTROY_ITEM	Acest item nu poate fi distrus.
SWITCHBOT_MAX_USE_SWITCHER_UNLIMITED	Limita
SWITCHBOT_MAX_USE_QUESTION_TITLE	Max. Schimbari
SWITCHBOT_MAX_USE_QUESTION_DESC	Introdu numarul max. de Schimbari (0=nelimitat)
SIDEBAR_TOOLTIP_SWITCHBOT	Switchbot
STAT_TOOLTIP_CON10	Mareste de 10x PV si Aparare
STAT_TOOLTIP_DEX10	Mareste de 10x Atac si Eschiva
STAT_TOOLTIP_INT10	Mareste 10x MP, Atac magic si Aparare magica
STAT_TOOLTIP_STR10	Mareste 10x Valoare atac si pagube
TOOLTIP_VOTE4BUFF	Vote4Buff	SNA
TOOLTIP_ALIGNMENT_GOOD	Rang: +5% Tare impotriva monstrilor
TOOLTIP_ALIGNMENT_BAD	Rang: +5% Tare impotriva Semiom
CHAT_OPEN_LINK_DANGER	Esti sigur ca doresti sa accesezi acest Link?[ENTER]Acesta poate contine virusi sau continut daunator.
DRAGON_SOUL_CANNOT_REFINE	Aceasta Piatra Dragon nu poate fi rafinata.
DRAGON_SOUL_CANNOT_REFINE_MORE	Aceasta Piatra Dragon a ajuns deja la nivelul maxim.
DRAGON_SOUL_EQUIP_WARNING1	Vei adauga o Piatra Dragon.
DRAGON_SOUL_EQUIP_WARNING2	Esti sigur?
DRAGON_SOUL_EXPIRED	Piatra Dragon Expirata
DRAGON_SOUL_INVALID_DRAGON_SOUL	Aceasta este o Piatra Dragon gresita.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Aceasta nu este o Piatra Dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Aceasta nu este Piatra Dragon corecta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nu ai suficient material pentru rafinare.
DRAGON_SOUL_NOT_MATCHED_SLOT	Piatra Dragon nu se potriveste in acest slot.
DRAGON_SOUL_STEP_LEVEL1	Claritate: opaca,
DRAGON_SOUL_STEP_LEVEL2	Claritate: clara,
DRAGON_SOUL_STEP_LEVEL3	Claritate: perfecta,
DRAGON_SOUL_STEP_LEVEL4	Claritate: stralucitoare,
DRAGON_SOUL_STEP_LEVEL5	Claritate: excelenta,
DRAGON_SOUL_STRENGTH	Nivel: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Pietrele Dragon nu pot fi distruse.
DRAGON_SOUL_UNEQUIP_WARNING2	Doresti s-o stergi?
DRAGON_SOUL_UNMATCHED_SLOT	Acest slot este gresit.
DRAGON_SOUL_UNQUALIFIED	Inca nu poti folosi alchimia Pietrei Dragon.
TOOLTIP_DRAGON_SOUL_DECK1	Pamant	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Cer	SNA
PET_UPGRADE_ACCEPT_BUTTON_TEXT	Imbunatatire
PET_UPGRADE_ACCEPT_EVOLUTION_BUTTON_TEXT	Dezvoltare
PET_UPGRADE_CANCEL_BUTTON_TEXT	Anulare
PET_UPGRADE_INFO_HAPPINESS	Cu cât nivelul de satisfacție este mai mare, cu atât mai mult va fi satisfăcut animalul dvs. de companie.[ENTER] La nivelul urmator dureaza %s pana cand animalul tau de companie va fi nemultumit.
PET_UPGRADE_INFO_RAGE	Cu cat nivelul Furiei va fi mai mare, cu atat va dura mai mult Furia animalului de companie.[ENTER]La nivelul urmator Furia va dura %s.
PET_UPGRADE_INFO_STAMINA	Cu cât nivelul de rezistenta este mai mare, cu atât mai mult va dura rezistenta animalului dvs. de companie.[ENTER] La nivelul urmator dureaza %d rezistenta animalului tau de companie.
PET_UPGRADE_PRICE	Cost: %s
PET_UPGRADE_TEXT_BONUS1	%d Max. PV -> %d Max. PV
PET_UPGRADE_TEXT_BONUS2	%d Aparare -> %d Aparare
PET_UPGRADE_TEXT_BONUS3	%d%% Tare impotriva monstrilor -> %d%% Tare impotriva monstrilor
PET_UPGRADE_TEXT_EVOLUTION	%s -> %s
PET_UPGRADE_TEXT_LEVEL	Nivel %d -> Nivel %d
PET_UPGRADE_TITLE_BONUS1	Imbunatatire: Max. PV
PET_UPGRADE_TITLE_BONUS2	Imbunatatire: Aparare
PET_UPGRADE_TITLE_BONUS3	Imbunatatire: Tare impotriva monstrilor
PET_UPGRADE_TITLE_EVOLUTION	Evolutie
PET_UPGRADE_TITLE_HAPPINESS	Imbunatatire: Satisfactie
PET_UPGRADE_TITLE_RAGE	Imbunatatire: Furie
PET_UPGRADE_TITLE_STAMINA	Imbunatatire: Rezistenta
KING_HORSE_UPGRADE_SUCCESS	Imbunatatirea a avut succes.
KING_HORSE_UPGRADE_FAIL	Imbunatatirea a esuat.
HORSE_UPGRADE_INFO_RAGE	Umso höher das Wut-Level ist, desto länger hält der Wut-Modus an.[ENTER]Auf der nächsten Stufe hält der Wut-Modus %s an.
TARGET_INFO_LEVELLIMIT	(de la lv. %d)
TARGET_INFO_DAMAGE	Damage : %s - %s
TARGET_INFO_DEFENSE	Defence : %s
TARGET_INFO_EXP	Expierence : %s
TARGET_INFO_MAINRACE	Race : %s
TARGET_INFO_MAX_HP	Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	No Items droppable.
TARGET_INFO_NO_RACE	None
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Darkness
TARGET_INFO_RACE_DEVIL	Devil
TARGET_INFO_RACE_EARTH	Earth
TARGET_INFO_RACE_ELEC	Lightning 
TARGET_INFO_RACE_FIRE	Fire
TARGET_INFO_RACE_HUMAN	Half Human
TARGET_INFO_RACE_ICE	Ice
TARGET_INFO_RACE_MILGYO	Mystic 
TARGET_INFO_RACE_TREE	Copac
TARGET_INFO_RACE_ORC	Orcs
TARGET_INFO_RACE_UNDEAD	Undead
TARGET_INFO_RACE_WIND	Wind
TARGET_INFO_RACE_METIN	Stone
TARGET_INFO_STONE_NAME	Ghoststone
TARGET_INFO_SUBRACE	Subspecies : %s
ITEM_SUBTYPE_ARMOR_BODY	Armura
ITEM_SUBTYPE_ARMOR_EAR	Cercei
ITEM_SUBTYPE_ARMOR_FOOTS	Papuci
ITEM_SUBTYPE_ARMOR_HEAD	Coif
ITEM_SUBTYPE_ARMOR_NECK	Colier
ITEM_SUBTYPE_ARMOR_SHIELD	Scut
ITEM_SUBTYPE_ARMOR_WRIST	Bratara
ITEM_SUBTYPE_COSTUME_ACCE	Esarfa
ITEM_SUBTYPE_COSTUME_BODY	Armura
ITEM_SUBTYPE_COSTUME_HAIR	Frizura
ITEM_SUBTYPE_COSTUME_HAIR_M	Frizura (barbateasca)
ITEM_SUBTYPE_COSTUME_HAIR_W	Frizura (feminin)
ITEM_SUBTYPE_COSTUME_MOUNT	Animal de calarie
ITEM_SUBTYPE_DISABLED	--------------------
ITEM_SUBTYPE_FISH_ALIVE	Viu
ITEM_SUBTYPE_FISH_GRILLED	Prajit
ITEM_SUBTYPE_MOUNT_SUB_FOOD	Hrana
ITEM_SUBTYPE_MOUNT_SUB_REVIVE	Inviere
ITEM_SUBTYPE_MOUNT_SUB_SUMMON	Incantatie
ITEM_SUBTYPE_NONE	Toate
ITEM_SUBTYPE_NONE_DISPLAY	Alege subcategorie
ITEM_SUBTYPE_SPHAERA_SUB_PACK	Manunchi
ITEM_SUBTYPE_SPHAERA_SUB_TIME_ADD	Manipularea timpului
ITEM_SUBTYPE_WEAPON_ARROW	Sageata
ITEM_SUBTYPE_WEAPON_BELL	Clopot
ITEM_SUBTYPE_WEAPON_BOW	Arc
ITEM_SUBTYPE_WEAPON_DAGGER	Pumnal
ITEM_SUBTYPE_WEAPON_FAN	Evantai
ITEM_SUBTYPE_WEAPON_SWORD	Sabie
ITEM_SUBTYPE_WEAPON_TWO_HANDED	Doua maini
ITEM_TYPE_ARMOR	Armura
ITEM_TYPE_COSTUME	Costum
ITEM_TYPE_FISH	Peste
ITEM_TYPE_MATERIAL	Altele
ITEM_TYPE_METIN	Piatra Fantoma
ITEM_TYPE_MOUNT	Animal de calarie
ITEM_TYPE_NONE	Toate
ITEM_TYPE_NONE_DISPLAY	Alege tip de obiect
ITEM_TYPE_POLYMORPH	Transformare
ITEM_TYPE_QUEST	Misiune
ITEM_TYPE_WEAPON	Arma
TEXT_TYPE_ITEMNAME	Nume obiect
TEXT_TYPE_NONE	Fara cautare text
TEXT_TYPE_PLAYERNAME	Nume jucator
AUCTION_INFORMER_INFO_TEXT	Ai vandut %s pentru %s.
AUCTION_INFORMER_INFO_MULTI_TEXT	Ai vandut %dx %s pentru %s.
AUCTION_INFORMER_RECEIVED_GOLD_TEXT	Ai primit <TEXT color=0xFFCAA76F text="%s">.
AUCTION_GAME_MESSAGE_ITEM_BUY_NOT_EXIST	Acest obiect a fost deja vandut.
AUCTION_GAME_MESSAGE_ITEM_BUY_TIMEOUT	Timpul acestor obiecte a expirat.
AUCTION_GAME_MESSAGE_ITEM_BUY_SUCCESS	Ai achizitionat itemul cu succes!
AUCTION_GAME_MESSAGE_ITEM_INSERT_SUCCESS	Obiectul a fost ajustat cu succes.
AUCTION_GAME_MESSAGE_ITEM_PRICE_TOO_HIGH	Nu poti vinde itemul la acest pret, deoarece toate itemele tale active insumeaza mult peste limita admisa.
AUCTION_GAME_MESSAGE_ITEM_TAKE_NOT_EXIST	Acest item a fost deja vandut.
